Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
06/07/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Malmaju Bina Sdn. Bhd.",Malaysia,Germany,AMS-III.F. ver. 5,18432,2357
07/07/2009,"Yunnan Jinping Miao-Yao-Dai Autonomous County Kesikou Hydropower Station",China,Germany,ACM0002 ver. 6,64398,2064
07/07/2009,"Guangdong Lankou 26MW Hydro Power Project",China,Japan/ Netherlands,ACM0002 ver. 7,69757,2458
09/07/2009,"Verde Valle Landfill Gas Project",Mexico,,ACM0001 ver. 8,197259,1920
10/07/2009,"Jradzor Small Hydroelectric CDM project",Armenia,Switzerland/ Netherlands/ Spain,AMS-I.D. ver. 12,8734,1835
11/07/2009,"Biogas Technology Group Ras Al-Khaimah Landfill Gas to Energy Project",United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 8,39759,2496
12/07/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Kilang Kelapa Sawit Bukit Pasir Sdn. Bhd.",Malaysia,Germany,AMS-III.F. ver. 5,23602,2261
12/07/2009,"Jiema Hydro Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,89554,2456
13/07/2009,"Guangxi Zhuang Autonomous Region Wuzhou Wangcun Hydropower Station",China,Germany,ACM0002 ver. 6,150508,2004
13/07/2009,"Fujian Zhouning Qianping Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 13,28556,1752
13/07/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Syarikat Peladang Dan Perusahaan Minyak Sdn. Bhd.",Malaysia,Germany,AMS-III.F. ver. 5,25438,2358
13/07/2009,"Ganey Hadas Landfill Gas to Renewable Electricity project",Israel,,AMS-I.D. ver. 13/ ACM0001 ver. 8,374474,2465
14/07/2009,"Shijiazhou 45MW Hydropower Project in Hunan Province, China",China,Netherlands,ACM0002 ver. 7,158886,2484
16/07/2009,"Yunnan Yingjiang Mangya River 1st Hydropower Station",China,Netherlands,ACM0002 ver. 6,110275,2116
16/07/2009,"Yamunanagar & Sonipat (India) OSRAM CFL distribution CDM Project",India,Germany,AMS-II.C. ver. 9,40807,2457
17/07/2009,"Pune (India) OSRAM CFL distribution CDM Project",India,Germany,AMS-II.C. ver. 9,30044,2476
18/07/2009,"Co-composting of EFB and POME project",Guatemala,Switzerland,AMS-III.F. ver. 5,22940,2527
18/07/2009,"FELDA Besout POME Biogas Project",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-I.A. ver. 12/ AMS-III.H. ver. 9,22764,2542
18/07/2009,"Upgradation and expansion of A.P.M.C compost plant at Tikri, Delhi",India,Germany,AMS-III.F. ver. 5,35329,2502
19/07/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Seri Ulu Langat Palm Oil Mill Sdn. Bhd.",Malaysia,Germany,AMS-III.F. ver. 5,25053,2352
20/07/2009,"Hubei Dahebian Hydropower Project of China",China,Japan,AMS-I.D. ver. 13,27657,2531
21/07/2009,"Kabil II 11.4 MW Gas Fired Project",Indonesia,United Kingdom of Great Britain and Northern Ireland,AM0029 ver. 3,12798,2346
21/07/2009,"Shandong Penglai Pingdingshan Wind Farm Project",China,Switzerland,ACM0002 ver. 7,107488,2397
22/07/2009,"Pengkalan Chepa Renewable Energy Plant",Malaysia,Denmark,AMS-I.C. ver. 13,35171,2132
24/07/2009,"Guangdong Liucheng 25.5MW Hydro Power Project",China,Japan/ Netherlands,ACM0002 ver. 7,67745,2459
25/07/2009,"Inner Mongolia Erlianhaote Phase I Wind Farm Project",China,Switzerland/ Netherlands,ACM0002 ver. 7,51055,1662
25/07/2009,"Fujian Hua`an Mianliang Hydropower Project",China,Japan/ Germany,ACM0002 ver. 7,147461,2541
26/07/2009,"Gikoko-Bekasi-LFG Flaring Project",Indonesia,Netherlands,ACM0001 ver. 8,69987,2509
27/07/2009,"Suoi Tan hydropower project",Viet Nam,Switzerland,AMS-I.D. ver. 13,15076,2368
27/07/2009,"Sarbari-I small hydro project of DSL Hydrowatt Limited (DSLHL), Himachal Pradesh, India",India,Switzerland/ Australia,AMS-I.D. ver. 13,23425,2482
27/07/2009,"Renkeng Hydropower Project, Longchuan County, Guangdong Province",China,Japan,ACM0002 ver. 7,57204,2392
27/07/2009,"Sichuan Baishuijiang Shuanghe Hydro Power Project",China,Japan/ Netherlands,ACM0002 ver. 6,297313,2155
27/07/2009,"Waixiong Hydropower plant project",China,Netherlands,ACM0002 ver. 6,112683,2171
27/07/2009,"25.6 MW grid connected Wind Power based electricity generation project in Karnataka, India.",India,Sweden/ Spain,ACM0002 ver. 7,23487,2474
Rejected,"CECIC Zhangbei Gaojialiang Wind farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 9,99204,1895
28/07/2009,"Luoyang Landfill Site LFG Recovery to Electricity Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 8,102860,2513
28/07/2009,"Hubei Yunlonghe Hydropower Project of Enshi City, Enshi Prefecture, Hubei Province, P.R. China",China,Austria,ACM0002 ver. 7,110474,2423
29/07/2009,"Shaanxi Provincial Yang County Kafang 12 MW Small-scale Hydro Power Project",China,Switzerland/ Japan,AMS-I.D. ver. 13,44139,2498
Rejected,"Heilongjiang Huanan Hengdaishan East (II) Wind Power Project",China,Switzerland,ACM0002 ver. 8,48426,2124
30/07/2009,"Xiaowutai 41.25MW Wind Power Generation Project in Shanxi Province",China,Germany,ACM0002 ver. 7,70924,2564
31/07/2009,"Shuangqiao, Banqiao and Longtoushan Bundled Small Hydropower Project in Heilongjiang Province",China,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 13,46306,2184
Rejected,"Waste Gas based Power Generation Project at Ankit Metal & Power Limited",India,,ACM0012 ver. 2,26808,2127
02/08/2009,"Sichuan Jinxi Hydropower Project",China,Japan/ Netherlands,ACM0002 ver. 7,518587,2539
,"Chile: Lircay Run-Of-River Project",Chile,Switzerland/ Netherlands,AM0026 ver. 3,53040,2417
04/08/2009,"INPA Fuel Switch Project",Brazil,United Kingdom of Great Britain and Northern Ireland,AMS-I.C. ver. 12,60398,2319
04/08/2009,"Furong-Hongguang Small Hydropower Project, Shaanxi Province, P.R. China",China,Sweden/ Netherlands,AMS-I.D. ver. 13,21732,1567
04/08/2009,"Fuerza Eolica del Istmo Wind Farm",Mexico,,ACM0002 ver. 7,133350,2390
05/08/2009,"Qingxi 28MW Hydropower Project in Guizhou Province, China",China,Switzerland/ Netherlands,ACM0002 ver. 7,70822,2448
05/08/2009,"Guohua Tongliao Kezuo Zhongqi Phase II 49.5 MW Wind Farm Project",China,Sweden,ACM0002 ver. 7,120475,1825
Rejected,"Heilongjiang Wuerguli Wind Power Project",China,Netherlands,ACM0002 ver. 7,82456,2152
07/08/2009,"Korea East-West Power Dangjin small hydro power plant project (5MW)",Republic of Korea,,AMS-I.D. ver. 13,15096,2366
07/08/2009,"Straw-fired Power Generation Project in Chuzhou District, Huaian City, Jiangsu Province",China,Sweden/ United Kingdom of Great Britain and Northern Ireland,ACM0006 ver. 6,152367,2161
07/08/2009,"Sichuan Kangding Simaqiao 24MW Hydroelectric Project",China,Japan,ACM0002 ver. 6,101966,1848
07/08/2009,"Rialma Companhia Energética III S/A. – Santa Edwiges III Small Hydro Power Plant – Small Scale CDM Project",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 12,24001,2165
07/08/2009,"Tao River Ewuduo 12 MW Hydropower Project in Gansu Province, the People’s Republic of China",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 13,58572,2460
10/08/2009,"Bundled Wind Power Project in Tirunelveli, Tamil Nadu",India,Switzerland,AMS-I.D. ver. 13,34415,2562
10/08/2009,"Rural Education for Development Society (REDS) CDM Photovoltaic Lighting Project",India,,AMS-I.A. ver. 12,21060,2279
12/08/2009,"Longyou 18 MW Hydropower Project in Zhejiang Province",China,Netherlands/ Germany,ACM0002 ver. 6,59428,2142
13/08/2009,"Abu Dhabi solar thermal power project, Masdar",United Arab Emirates,,ACM0002 ver. 9,174800,2534
Withdrawn,"Hebei Wasted Gas based Captive Power Plant Project in Longgang Group",China,Japan,ACM0012 ver. 2,202103,2508
13/08/2009,"Titi Glove Biomass Fuel Switch Project",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-I.C. ver. 13,19760,2611
13/08/2009,"Title: 12 MW Grid connected Wind Power Project, Gujarat State, India.",India,Switzerland,AMS-I.D. ver. 13,21699,2546
14/08/2009,"Yunnan Lianghe Hulukou Hydropower Station",China,Netherlands,ACM0002 ver. 6,78221,2106
Withdrawn,"The Waste Heat Recovery Based Coke Dry Quenching Power Generation Project of Xingang Company",China,United Kingdom of Great Britain and Northern Ireland,ACM0012 ver. 2,127597,2511
Withdrawn,"Angang Waste Gas Recovery and Generation Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0012 ver. 2,273066,2520
15/08/2009,"Yellow River Hydro Power Plant in Luoning County, Henan Province",China,Japan,AMS-I.D. ver. 13,29866,2547
Withdrawn,"Jiangxi Pinggang Group 20MW Waste Gas and Surplus Steam based Captive Power Plant",China,Japan,ACM0012 ver. 2,103368,2499
16/08/2009,"New Energy and Hongik Energy & Research small-scale hydroelectric power plants project",Republic of Korea,,AMS-I.D. ver. 13,5501,2306
17/08/2009,"So Lo hydropower project",Viet Nam,Switzerland,AMS-I.D. ver. 13,16346,2372
19/08/2009,"Composting of solid biomass waste separated from the Palm Oil Mill Effluent (POME) through the use of AVC Sludge Dewatering System at Ever-Yield Sdn. Bhd. (Palm Oil Mill)",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-III.F. ver. 5,24461,2492
20/08/2009,"Anhui Anqing 30MW Biomass Power Generation Project ",China,United Kingdom of Great Britain and Northern Ireland,ACM0006 ver. 6,154771,2440
Rejected,"Pure-low Temperature Waste Heat Recovery for Power Generation (2×7MW) in Guangdong Tapai Cement Co., Ltd.",China,Japan,ACM0012 ver. 2,67040,2445
21/08/2009,"Nanning Shizuo Non-Carbonated Raw Material for Cement Production Renovation Project",China,,AM0033 ver. 2,184130,2143
21/08/2009,"Uganda Nile Basin Reforestation Project No.3",Uganda,Canada/ Italy/ Luxembourg/ France/ Japan/ Spain,AR-AMS0001 ver. 5,5564,1578
21/08/2009,"7.5 MW Bundled Small Hydropower Project in Qiandongnan Autonomous Region, Guizhou Province, P.R. China",China,Japan,AMS-I.D. ver. 13,19828,2359
24/08/2009,"Hunan Jinjiagou Small Hydropower Project",China,Sweden,AMS-I.D. ver. 13,63326,1864
24/08/2009,"Alton Landfill Gas to Energy Project",South Africa,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 13/ AMS-III.G. ver. 6,25893,2549
24/08/2009,"Univanich TOPI Biogas Project",Thailand,Liechtenstein,AMS-III.H. ver. 9/ AMS-I.D. ver. 13,41174,2661
24/08/2009,"Sichuan Yonghe Yulong Hydropower Project",China,Japan,AMS-I.D. ver. 13,9123,2592
25/08/2009,"Zhumadian Zhongyuan Gas-Steam Combined Cycle Power Project in Henan China",China,Switzerland/ Sweden,AM0029 ver. 3,858165,2344
27/08/2009,"Yuquan 16 MW Hydro-electric Power Station Project",China,Netherlands,ACM0002 ver. 6,42606,2002
27/08/2009,"Jaguari Mirim River Hydroelectric Plants",Brazil,,AMS-I.D. ver. 13,8634,2570
28/08/2009,"Landfill Gas Recovery and Utilization at Bukit Tagar Sanitary Landfill, Hulu Selangor in Malaysia",Malaysia,Switzerland/ Japan/ Sweden/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 8,219625,2467
28/08/2009,"Biogas CDM Project of Bagepalli Coolie Sangha",India,Netherlands,AMS-I.C. ver. 13/ AMS-I.E.,42855,2591
28/08/2009,"Shimian Danihe Hydropower Project",China,Japan,AMS-I.D. ver. 13,23960,2616
Withdrawn,"Gramacho Landfill Gas Project",Brazil,,ACM0001 ver. 9/ AM0069,852367,2548
29/08/2009,"Thachana Palm Oil Company Wastewater Treatment Project in Thailand",Thailand,Japan,AMS-III.H. ver. 9/ AMS-I.D. ver. 13,23844,2644
29/08/2009,"8.85MW SECHAN POWER PV(photovoltaic) power plant(a bundling project which consists of 7different PV power plants)",Republic of Korea,,AMS-I.D. ver. 13,8342,2552
31/08/2009,"Green Glory Wastewater Treatment and Electricity Generation in Suratthani, Thailand",Thailand,Japan,AMS-III.H. ver. 9/ AMS-I.D. ver. 13,16916,2658
03/09/2009,"9 MW Wind Power Project in Tamil Nadu by ACC Limited",India,Switzerland,AMS-I.D. ver. 13,23121,2679
03/09/2009,"Taman Beringin Integrated Landfill Management Project, Kuala Lumpur, Malaysia",Malaysia,Canada,ACM0001 ver. 8,53089,1925
04/09/2009,"Felda Pancing and Pasoh Biogas Project",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-I.A. ver. 12/ AMS-III.H. ver. 9,34290,2603
04/09/2009,"Anaerobic Digestion Swine Wastewater Treatment With On-Site Power Project (ADSW RP2007)",Philippines,United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 13/ AMS-I.D. ver. 12,4003,1967
04/09/2009,"Methane Recovery Project of Huguan Yufeng Brewing Co., Ltd.",China,Japan/ United Kingdom of Great Britain and Northern Ireland,AMS-III.H. ver. 9/ AMS-I.C. ver. 13,72483,2649
05/09/2009,"Wastewater Treatment with Biogas Technology in a Tapioca Processing Plant at Roi Et Flour Company Limited, Thailand",Thailand,Denmark,AMS-III.H. ver. 9/ AMS-I.D. ver. 13,40276,2645
05/09/2009,"Biogas project, Cargill Siam Borabu",Thailand,Switzerland,AMS-III.H. ver. 9/ AMS-I.D. ver. 13/ AMS-I.C. ver. 13,52881,2670
05/09/2009,"Nam Pia Hydropower Project",Viet Nam,Japan,AMS-I.D. ver. 13,34103,2627
06/09/2009,"Reforestation of croplands and grasslands in low income communities of Paraguarí Department, Paraguay",Paraguay,Japan,AR-AMS0001 ver. 4,1523,2694
07/09/2009,"Gikoko-Makassar - LFG Flaring Project",Indonesia,Netherlands,ACM0001 ver. 8,61891,2518
09/09/2009,"Biogas project, BAJ Unit 6",Indonesia,Switzerland,AMS-III.H. ver. 9/ AMS-I.D. ver. 13,34045,2631
09/09/2009,"Hebei Wanquan Yulong Wind Power Project",China,Switzerland/ Japan,ACM0002 ver. 6,86729,2205
10/09/2009,"Dona Juana landfill gas-to-energy project",Colombia,Switzerland/ Germany/ Norway/ Spain,ACM0001 ver. 10,827384,2554
10/09/2009,"Wastewater Treatment with Biogas Technology in a Tapioca Processing Plant at P.V.D. International Company Limited, Thailand  ",Thailand,Denmark,AMS-III.H. ver. 9/ AMS-I.D. ver. 13,50663,2660
10/09/2009,"Fujian Pingnan Jiufeng Hydropower Project",China,Japan,AMS-I.D. ver. 13,5839,2681
11/09/2009,"Displacement of the electricity of the national electric grid by the auto-generation of renewable energy in the Cañaveralejo Wastewater Treatment Plant of EMCALI in Cali, Colombia",Colombia,Switzerland,AMS-I.D. ver. 13,2512,2285
11/09/2009,"Jilin Xijingou Hydropower Project",China,Netherlands,ACM0002 ver. 7,84474,2435
11/09/2009,"Zhejiang Wenling Donghaitang Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,69372,2449
11/09/2009,"Zhangjiagang Nature Gas Power Generation Project",China,United Kingdom of Great Britain and Northern Ireland,AM0029 ver. 3,1231243,2439
Rejected,"Sichuan Tiejue 25MW Hydro Power Project",China,Netherlands,ACM0002 ver. 7,98877,2565
Withdrawn,"Tianjin Zhenxing Cement Waste Heat Recovery for Power Generation Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-III.Q. ver. 1,54575,2668
12/09/2009,"15MW Grid connected renewable energy generation by RSMML",India,Switzerland/ Sweden,AMS-I.D. ver. 13,24632,2613
Rejected,"Heilongjiang Fujin 48MW Wind Power Project",China,Japan,ACM0002 ver. 7,126667,2573
14/09/2009,"Xinjiang Kaiduhe River Chahan Wusu Hydropower Project",China,Japan,ACM0002 ver. 7,908606,2551
Rejected,"Hebei Shangyi Manjing North Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 8,110849,1792
15/09/2009,"Introduction of the recovery and combustion of methane in the existing sludge treatment system of the Cañaveralejo Wastewater Treatment Plant of EMCALI in Cali, Colombia",Colombia,Switzerland,AMS-III.H. ver. 9,56632,2341
16/09/2009,"Biogas project, BAJ Way Jepara",Indonesia,Switzerland,AMS-III.H. ver. 9/ AMS-I.D. ver. 13,50060,2652
17/09/2009,"Santa Cruz I Hydroelectric Power Plant",Peru,Netherlands/ Germany/ Spain,AMS-I.D. ver. 13,16927,2405
17/09/2009,"El Platanal Hydropower Plant",Peru,Spain/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,501814,2426
17/09/2009,"Gimcheon PV Power Plant Site 1 CDM Project",Republic of Korea,,AMS-I.D. ver. 13,8197,2683
18/09/2009,"Yunnan Yingjiang Wakuhe Hydropower Station",China,Germany,ACM0002 ver. 6,167194,2052
18/09/2009,"Avelino Bragagnolo - Wastewater Treatment using Aerobic System",Brazil,,AMS-III.H. ver. 9/ AMS-III.I. ver. 6,16736,2555
18/09/2009,"Bintulu Combined-Cycle Project STG Unit No.9, Tanjung Kidurong, Bintulu, Sarawak",Malaysia,Japan,ACM0007 ver. 3,595460,2594
19/09/2009,"Felda Chalok and Jerangau Barat Biogas Project",Malaysia,United Kingdom of Great Britain and Northern Ireland,AMS-I.A. ver. 12/ AMS-III.H. ver. 9,32666,2651
21/09/2009,"Leak Reduction in Above Ground Gas Distribution Equipment in the KazTransgaz-Tbilisi Gas Distribution System- Tbilisi, Georgia",Georgia,United Kingdom of Great Britain and Northern Ireland,AM0023 ver. 2,339197,2404
21/09/2009,"Sonna mini hydel scheme in Karnataka State, India.",India,Switzerland,AMS-I.D. ver. 13,23387,1861
23/09/2009,"Amine Circulation Pumps Energy Efficiency at Hazira works of ONGC",India,Switzerland,AMS-II.D. ver. 11,4043,2648
23/09/2009,"Guizhou Kaiyang Zijiang Hydropower Station Project",China,Netherlands,AMS-I.D. ver. 13,34525,2574
24/09/2009,"Bionersis Project Thailand 1",Thailand,Netherlands/ France,AMS-I.D. ver. 13/ ACM0001 ver. 8,118609,2514
24/09/2009,"Methane capture and destruction on Las Heras landfill in Mendoza, Argentina",Argentina,Switzerland/ France,AMS-III.G. ver. 6/ AMS-I.D. ver. 13,30599,1645
24/09/2009,"Shanghai Dong Hai Bridge Offshore Wind Farm Project",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 9,246058,2568
25/09/2009,"Tal Dman Landfill Gas Capture Project in Aleppo",Syrian Arab Republic,Japan,ACM0001 ver. 8,65037,2453
28/09/2009,"Gimcheon PV Power Plant Site 2 CDM Project",Republic of Korea,,AMS-I.D. ver. 13,7896,2684
Rejected,"Tangshan Jidong Cement Matoushan Matishan 25MW Cement Waste heat Recovery Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0012 ver. 3,148431,2587
30/09/2009,"Fujian Pingnan Tingtougang Hydropower Project",China,Japan,AMS-I.D. ver. 13,24545,2559
01/10/2009,"Methane recovery from wastewater generated at Paper manufacturing unit of Sree Sakthi Paper Mills Ltd., Kerala ",India,,AMS-III.H. ver. 9,3923,2434
01/10/2009,"Tianquan Shiyang Hydro Power Project",China,Netherlands,ACM0002 ver. 6,75661,2195
Withdrawn,"Lixo Zero Composting Project",Brazil,United Kingdom of Great Britain and Northern Ireland,AM0025 ver. 10,66823,2628
02/10/2009,"Sichuan Yetang 24MW Hydro Power Project",China,Netherlands,ACM0002 ver. 7,99693,2575
02/10/2009,"Guohua Hebei Huanghua 49.5 MW Wind Farm Project (Phase I)",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,106647,2125
02/10/2009,"Fugong Labuluo Hydropower Project",China,Japan/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 7,73665,2688
